이미지 주소,브랜드,상품명,판매가격,원가,할인율,리뷰수,별점,상품 상세 이미지,중분류,소분류
https://cdn.chicor.com/images/product/20231031161536023.jpg?d=600x0,헤라메이크업,헤라 스킨 래디언트 글로우 쿠션 (본품+리필),61200,68000,10,103,98,"['https://images-kr.amoremall.com/fileupload/products/111070001572/detail/2022/10/20/%ED%97%A4%EB%9D%BC_%EC%8A%A4%ED%82%A8%20%EB%9E%98%EB%94%94%EC%96%B8%ED%8A%B8%20%EA%B8%80%EB%A1%9C%EC%9A%B0%20%EC%BF%A0%EC%85%98_%EC%83%81%EC%84%B8%ED%8E%98%EC%9D%B4%EC%A7%80.jpg', 'https://cdn.chicor.com/images/editor/20221026142543793.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220705153035921.jpg?d=600x0,네이밍,레이어드 핏 쿠션 12g (택1),28000,28000,0,30,99,"['https://cdn.chicor.com/images/editor/20220705152909287.jpg', 'https://cdn.chicor.com/images/editor/20220705152920703.jpg', 'https://cdn.chicor.com/images/editor/20220705152927678.jpg', 'https://cdn.chicor.com/images/editor/20220705152935316.jpg', 'https://cdn.chicor.com/images/editor/20220705152955690.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20210402110112510.jpg?d=600x0,나스,퓨어 래디언트 프로텍션 아쿠아 글로우 쿠션 파운데이션 케이스,22500,25000,10,41,99,['https://cdn.chicor.com/images/editor/20230201042350053.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230804110022879.jpg?d=600x0,정샘물,마스터클래스 래디언트 쿠션(리필포함),45050,53000,15,37,99,"['https://cdn.chicor.com/images/editor/20201214162039276.jpg', 'https://cdn.chicor.com/images/editor/20201214162051299.jpg', 'https://cdn.chicor.com/images/editor/20201214162102445.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230731095714022.jpg?d=600x0,헉슬리,에센스 커버 쿠션 언씬 레이어,36100,38000,5,52,98,"['https://cdn.chicor.com/images/editor/20230522222618364.jpg', 'https://cdn.chicor.com/images/editor/20230522222645786.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20231016145541551.jpg?d=600x0,힌스,힌스 세컨 스킨 글로우 쿠션,30600,34000,10,64,98,"['https://cdn.chicor.com/images/editor/20231017152536401.jpg', 'https://cdn.chicor.com/images/editor/20231017152607984.jpg', 'https://cdn.chicor.com/images/editor/20230419183409885.jpg', 'https://cdn.chicor.com/images/editor/20230419183416405.jpg', 'https://cdn.chicor.com/images/editor/20230419183421733.gif', 'https://cdn.chicor.com/images/editor/20230419183426713.jpg', 'https://cdn.chicor.com/images/editor/20230419183431569.jpg', 'https://cdn.chicor.com/images/editor/20230419183437435.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20200601133459552.jpg?d=600x0,나스,네츄럴 래디언트 롱웨어 쿠션 파운데이션 SPF50/PA+++ 엠티 케이스,22500,25000,10,22,97,['https://cdn.chicor.com/images/editor/20230201042411976.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230804110000019.jpg?d=600x0,정샘물,에센셜 스킨 누더 롱웨어 쿠션(리필포함),35700,42000,15,27,98,"['https://cdn.chicor.com/images/editor/20221024174104065.gif', 'https://cdn.chicor.com/images/editor/20221024174110418.gif', 'https://cdn.chicor.com/images/editor/20221024174116032.gif', 'https://cdn.chicor.com/images/editor/20221024174120776.gif']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220119115938838.jpg?d=600x0,아멜리,톤업 베이스 데일리 쿠션 [본품],23400,26000,10,26,97,"['https://cdn.chicor.com/images/editor/20220117154801998.png', 'https://cdn.chicor.com/images/editor/20220117154808907.jpg', 'https://cdn.chicor.com/images/editor/20220117154815036.jpg', 'https://cdn.chicor.com/images/editor/20220117154820651.jpg', 'https://cdn.chicor.com/images/editor/20220117154826970.jpg', 'https://cdn.chicor.com/images/editor/20220117154834905.jpg', 'https://cdn.chicor.com/images/editor/20220117154841909.jpg', 'https://cdn.chicor.com/images/editor/20220117154847754.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20211029145949878.jpg?d=600x0,바비브라운,인텐시브 세럼 파운데이션 쿠션 SPF 40 PA+++,75650,89000,15,23,100,['https://cdn.chicor.com/images/editor/20211029145906803.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20210915161029684.jpg?d=600x0,블랑디바,블랑디바 글림커버리지 쿠션 단품,34000,34000,0,7,97,"['https://cdn.chicor.com/images/editor/20220524164716364.jpg', 'https://cdn.chicor.com/images/editor/20210914200218218.jpg', 'https://cdn.chicor.com/images/editor/20211130102453266.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230804105936500.jpg?d=600x0,정샘물,정샘물 스킨 누더 커버레이어 쿠션,35700,42000,15,15,100,"['https://cdn.chicor.com/images/editor/20221024165956956.jpg', 'https://cdn.chicor.com/images/editor/20221024170001188.jpg', 'https://cdn.chicor.com/images/editor/20221024170006299.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20210902105607917.jpg?d=600x0,맥,스튜디오 픽스 쿠션 SPF50/PA++++,49300,58000,15,19,91,['https://cdn.chicor.com/images/editor/20221031110645656.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220217145904598.jpg?d=600x0,파넬,시카마누 세럼쿠션 21호,32000,32000,0,6,93,['https://cdn.chicor.com/images/editor/20220217145625434.jpg'],베이스메이크업,쿠션
